title,authors,average_rating,ratings_count,num_pages
The Great Gatsby,F. Scott Fitzgerald,3.91,3897423,180
To Kill a Mockingbird,Harper Lee,4.28,4253046,324
1984,George Orwell,4.18,3431234,328
Pride and Prejudice,Jane Austen,4.26,3205604,279
The Catcher in the Rye,J.D. Salinger,3.80,2764934,277
The Hobbit,J.R.R. Tolkien,4.27,2981452,310
Harry Potter and the Sorcerer's Stone,J.K. Rowling,4.47,7578873,309
The Lord of the Rings,J.R.R. Tolkien,4.50,2128723,1178
The Alchemist,Paulo Coelho,3.86,2797057,208
The Da Vinci Code,Dan Brown,3.85,2391492,454
